,X_UnCal,Y_UnCal,Z_UnCal,X_Bias,Y_Bias,Z_Bias,time_UnCal,Accuracy,device_id,location
0,-40.979797,57.461998,-79.9832,-17.414808,48.837105,-32.69565,1064864175213,1,03575768cc23b2df,Park
1,-42.3218,57.083797,-79.8002,-17.414808,48.837105,-32.69565,1064874178143,1,03575768cc23b2df,Park
2,-47.8728,54.912197,-80.068596,-17.414808,48.837105,-32.69565,1064884173016,1,03575768cc23b2df,Park
3,-45.017998,56.6568,-80.9348,-17.414808,48.837105,-32.69565,1064894173260,1,03575768cc23b2df,Park
4,-45.2254,56.0102,-80.1906,-17.414808,48.837105,-32.69565,1064904173260,1,03575768cc23b2df,Park
5,-39.223,57.4376,-78.3484,-17.414808,48.837105,-32.69565,1064914174481,1,03575768cc23b2df,Park
6,-39.833,57.937798,-79.8002,-17.414808,48.837105,-32.69565,1064924173260,1,03575768cc23b2df,Park
7,-40.0526,57.645,-78.7144,-17.414808,48.837105,-32.69565,1064934173016,1,03575768cc23b2df,Park
8,-36.5756,57.3522,-78.0922,-17.414808,48.837105,-32.69565,1064944173260,1,03575768cc23b2df,Park
9,-35.453197,58.438,-77.738396,-17.414808,48.837105,-32.69565,1064954173748,1,03575768cc23b2df,Park
10,-37.8444,57.4498,-78.324,-17.414808,48.837105,-32.69565,1064964169354,1,03575768cc23b2df,Park
11,-38.491,57.8158,-79.544,-17.414808,48.837105,-32.69565,1064974160321,1,03575768cc23b2df,Park
12,-34.0136,58.718597,-76.7868,-17.414808,48.837105,-32.69565,1064984172772,1,03575768cc23b2df,Park
13,-36.063198,58.743,-77.5188,-17.414808,48.837105,-32.69565,1064994173748,1,03575768cc23b2df,Park
14,-37.2466,57.7548,-78.360596,-17.414808,48.837105,-32.69565,1065004173260,1,03575768cc23b2df,Park
15,-35.1604,58.4258,-76.5794,-17.414808,48.837105,-32.69565,1065014173260,1,03575768cc23b2df,Park
16,-38.2714,57.584,-77.9214,-17.414808,48.837105,-32.69565,1065024173260,1,03575768cc23b2df,Park
17,-36.843998,58.2794,-76.969795,-17.414808,48.837105,-32.69565,1065034173748,1,03575768cc23b2df,Park
18,-36.295,58.2672,-77.262596,-17.414808,48.837105,-32.69565,1065044173016,1,03575768cc23b2df,Park
19,-35.0018,58.499,-77.2016,-17.414808,48.837105,-32.69565,1065054173016,1,03575768cc23b2df,Park
20,-37.5638,57.632797,-78.9462,-17.414808,48.837105,-32.69565,1065064160565,1,03575768cc23b2df,Park
21,-36.538998,57.791397,-76.9942,-17.414808,48.837105,-32.69565,1065074173748,1,03575768cc23b2df,Park
22,-36.2096,57.8768,-77.579796,-17.414808,48.837105,-32.69565,1065084173260,1,03575768cc23b2df,Park
23,-38.2836,57.645,-78.812,-17.414808,48.837105,-32.69565,1065094173260,1,03575768cc23b2df,Park
24,-37.161198,57.7304,-78.0068,-17.414808,48.837105,-32.69565,1065104173748,1,03575768cc23b2df,Park
25,-38.2836,57.400997,-78.751,-17.414808,48.837105,-32.69565,1065114174481,1,03575768cc23b2df,Park
26,-36.307198,58.1574,-78.3118,-17.414808,48.837105,-32.69565,1065124173016,1,03575768cc23b2df,Park
27,-41.748398,55.766197,-84.131195,-17.414808,48.837105,-32.69565,1065134173260,1,03575768cc23b2df,Park
28,-37.759,57.4254,-77.8726,-17.414808,48.837105,-32.69565,1065144173016,1,03575768cc23b2df,Park
29,-34.9896,58.315998,-77.3724,-17.414808,48.837105,-32.69565,1065154173504,1,03575768cc23b2df,Park
30,-35.5508,57.828,-76.969795,-17.414808,48.837105,-32.69565,1065164160565,1,03575768cc23b2df,Park
31,-38.8082,56.851997,-77.0308,-17.414808,48.837105,-32.69565,1065174169110,1,03575768cc23b2df,Park
32,-36.221798,57.9866,-77.0674,-17.414808,48.837105,-32.69565,1065184173260,1,03575768cc23b2df,Park
33,-37.454,57.864597,-78.324,-17.414808,48.837105,-32.69565,1065194173748,1,03575768cc23b2df,Park
34,-35.8924,58.072,-77.433395,-17.414808,48.837105,-32.69565,1065204172772,1,03575768cc23b2df,Park
35,-36.1974,57.8036,-76.921,-17.414808,48.837105,-32.69565,1065214173260,1,03575768cc23b2df,Park
36,-36.7098,58.0354,-77.421196,-17.414808,48.837105,-32.69565,1065224173260,1,03575768cc23b2df,Park
37,-37.8688,57.8036,-77.9824,-17.414808,48.837105,-32.69565,1065234173992,1,03575768cc23b2df,Park
38,-37.271,57.6816,-78.3484,-17.414808,48.837105,-32.69565,1065244173016,1,03575768cc23b2df,Park
39,-36.307198,57.7182,-78.6534,-17.414808,48.837105,-32.69565,1065254173016,1,03575768cc23b2df,Park
40,-34.6846,58.254997,-77.1772,-17.414808,48.837105,-32.69565,1065264163006,1,03575768cc23b2df,Park
41,-35.989998,58.413597,-78.9462,-17.414808,48.837105,-32.69565,1065274173992,1,03575768cc23b2df,Park
42,-37.087997,57.5108,-78.1532,-17.414808,48.837105,-32.69565,1065284160321,1,03575768cc23b2df,Park
43,-38.5276,57.4254,-78.9218,-17.414808,48.837105,-32.69565,1065294173016,1,03575768cc23b2df,Park
44,-38.100597,57.400997,-78.1654,-17.414808,48.837105,-32.69565,1065304173016,1,03575768cc23b2df,Park
45,-37.1734,57.9134,-77.7262,-17.414808,48.837105,-32.69565,1065314173748,1,03575768cc23b2df,Park
46,-35.6484,58.181797,-78.263,-17.414808,48.837105,-32.69565,1065324173260,1,03575768cc23b2df,Park
47,-36.8928,58.096397,-78.5558,-17.414808,48.837105,-32.69565,1065334173016,1,03575768cc23b2df,Park
48,-36.538998,58.181797,-78.4948,-17.414808,48.837105,-32.69565,1065344172772,1,03575768cc23b2df,Park
49,-35.440998,57.693798,-77.0186,-17.414808,48.837105,-32.69565,1065354173748,1,03575768cc23b2df,Park
50,-34.4162,57.9866,-76.176796,-17.414808,48.837105,-32.69565,1065364173504,1,03575768cc23b2df,Park
51,-37.21,57.2668,-77.043,-17.414808,48.837105,-32.69565,1065374160321,1,03575768cc23b2df,Park
52,-36.783,57.95,-78.4948,-17.414808,48.837105,-32.69565,1065384173016,1,03575768cc23b2df,Park
53,-37.6004,58.1086,-78.0922,-17.414808,48.837105,-32.69565,1065394174237,1,03575768cc23b2df,Park
54,-37.82,57.523,-78.3362,-17.414808,48.837105,-32.69565,1065404173016,1,03575768cc23b2df,Park
55,-39.2108,56.7544,-78.08,-17.414808,48.837105,-32.69565,1065414172772,1,03575768cc23b2df,Park
56,-36.5146,58.1208,-77.165,-17.414808,48.837105,-32.69565,1065424173260,1,03575768cc23b2df,Park
57,-36.5878,57.5352,-77.9214,-17.414808,48.837105,-32.69565,1065434173016,1,03575768cc23b2df,Park
58,-36.9172,57.632797,-77.165,-17.414808,48.837105,-32.69565,1065444173016,1,03575768cc23b2df,Park
59,-35.209198,57.852398,-76.5672,-17.414808,48.837105,-32.69565,1065454173016,1,03575768cc23b2df,Park
60,-35.599598,57.828,-78.1776,-17.414808,48.837105,-32.69565,1065464160565,1,03575768cc23b2df,Park
61,-35.7948,57.7426,-78.0922,-17.414808,48.837105,-32.69565,1065474173992,1,03575768cc23b2df,Park
62,-35.599598,58.1208,-76.7258,-17.414808,48.837105,-32.69565,1065484173504,1,03575768cc23b2df,Park
63,-37.3808,57.584,-77.9214,-17.414808,48.837105,-32.69565,1065494173016,1,03575768cc23b2df,Park
64,-36.2828,57.8402,-77.165,-17.414808,48.837105,-32.69565,1065504173260,1,03575768cc23b2df,Park
65,-36.8562,58.096397,-77.579796,-17.414808,48.837105,-32.69565,1065514173016,1,03575768cc23b2df,Park
66,-37.3808,57.828,-78.08,-17.414808,48.837105,-32.69565,1065524173016,1,03575768cc23b2df,Park
67,-38.125,57.828,-78.5924,-17.414808,48.837105,-32.69565,1065534173016,1,03575768cc23b2df,Park
68,-37.1856,57.9134,-77.9458,-17.414808,48.837105,-32.69565,1065544173260,1,03575768cc23b2df,Park
69,-36.417,57.864597,-78.7144,-17.414808,48.837105,-32.69565,1065554173992,1,03575768cc23b2df,Park
70,-35.1726,58.0598,-77.6896,-17.414808,48.837105,-32.69565,1065564173260,1,03575768cc23b2df,Park
71,-35.526398,58.3404,-76.86,-17.414808,48.837105,-32.69565,1065574178143,1,03575768cc23b2df,Park
72,-36.0388,57.889,-77.433395,-17.414808,48.837105,-32.69565,1065584173504,1,03575768cc23b2df,Park
73,-36.5634,57.852398,-78.201996,-17.414808,48.837105,-32.69565,1065594173504,1,03575768cc23b2df,Park
74,-36.234,57.620598,-77.958,-17.414808,48.837105,-32.69565,1065604160565,1,03575768cc23b2df,Park
75,-37.5638,57.9988,-78.1654,-17.414808,48.837105,-32.69565,1065614173016,1,03575768cc23b2df,Park
76,-36.843998,58.169598,-77.8116,-17.414808,48.837105,-32.69565,1065624173260,1,03575768cc23b2df,Park
77,-35.746,57.9988,-77.165,-17.414808,48.837105,-32.69565,1065634173748,1,03575768cc23b2df,Park
78,-35.7948,57.6816,-77.5432,-17.414808,48.837105,-32.69565,1065644173260,1,03575768cc23b2df,Park
79,-36.2462,57.7304,-77.348,-17.414808,48.837105,-32.69565,1065654173016,1,03575768cc23b2df,Park
80,-35.4654,57.937798,-77.836,-17.414808,48.837105,-32.69565,1065664173260,1,03575768cc23b2df,Park
81,-34.281998,58.4258,-76.677,-17.414808,48.837105,-32.69565,1065674173992,1,03575768cc23b2df,Park
82,-35.9412,57.9256,-77.3114,-17.414808,48.837105,-32.69565,1065684173992,1,03575768cc23b2df,Park
83,-36.6,57.584,-76.640396,-17.414808,48.837105,-32.69565,1065694173260,1,03575768cc23b2df,Park
84,-37.576,57.8158,-78.994995,-17.414808,48.837105,-32.69565,1065704173260,1,03575768cc23b2df,Park
85,-35.9412,57.9866,-78.08,-17.414808,48.837105,-32.69565,1065714173748,1,03575768cc23b2df,Park
86,-37.21,57.584,-77.8726,-17.414808,48.837105,-32.69565,1065724172772,1,03575768cc23b2df,Park
87,-36.661,58.254997,-77.9946,-17.414808,48.837105,-32.69565,1065734173260,1,03575768cc23b2df,Park
88,-36.478,57.5718,-77.7994,-17.414808,48.837105,-32.69565,1065744172772,1,03575768cc23b2df,Park
